TRKRN Oil,TRACKER Oil,NORTHWEST Oil,SOUTHWEST Oil,LGOR Oil,HGOR Oil,B3 LGOR Oil,B1 LGOR Oil,B3 MGOR Oil,B1 MGOR Oil,B3 HGOR Oil,B1 HGOR Oil,NEW A1 LGOR Oil,NEW C1 LGOR Oil,NEW B1 LGOR Oil,NEW B3 LGOR Oil,NEW GENERIC Oil,GANADOR Oil,MUNSON Oil,DISCOVERY Oil,PDP Oil,NEW B3 LGOR Risk90 Oil,NEW B3 LGOR Risk80 Oil,NEW B3 LGOR Risk70 Oil,NEW B3 LGOR Risk90_8750 Oil,NEW B3 LGOR_10k Oil,ESTE Oil,TRACKER-N-ORIG Oil,TRACKER-S-ORIG Oil,MUNSON-8750 Oil,MUNSON-10k Oil
1.629635193,1.016899805,1.179289137,0.854510474,1.531716201,0.443137541,1.22556528,1.513663923,1.697899272,0.913459965,1.13512983,0.982689926,0.827554137,0.827554137,0.827554137,1.130044074,0.978799106,1.130044074,1.144645801,1.179289137,0,1.017039667,0.904035259,0.791030852,1.186546278,1.506725432,1.821275725,1.324355591,0.964398132,1.251956345,0.865367959
1.605238125,0.999131942,1.158553466,0.839710417,1.513571802,0.435178062,1.210279017,1.496377273,1.675841245,0.9023306,1.121610455,0.970626912,0.815164341,0.815164341,0.815164341,1.113509757,0.964337049,1.113509757,1.129149707,1.158553466,0,1.002158781,0.890807806,0.77945683,1.169185245,1.484679676,1.795687693,1.302703369,0.948339783,1.235007492,0.853652699
1.581665116,0.982813709,1.139513807,0.826113611,1.495975751,0.427875225,1.195478939,1.479594805,1.654513204,0.891547106,1.108501838,0.958941562,0.803759953,0.803759953,0.803759953,1.098278986,0.95101947,1.098278986,1.114127637,1.139513807,0,0.988451088,0.878623189,0.76879529,1.153192936,1.464371982,1.770911717,1.281781372,0.932832825,1.218577103,0.842295808
1.558873413,0.967054328,1.121130148,0.812978508,1.47890188,0.42082922,1.181140298,1.463292955,1.633876786,0.881092372,1.095784205,0.947615048,0.792721903,0.792721903,0.792721903,1.083526745,0.938124324,1.083526745,1.09955752,1.121130148,0,0.975174071,0.866821396,0.758468722,1.137703083,1.444702327,1.746908152,1.261552856,0.917848999,1.202641037,0.831280599
1.536823227,0.951302811,1.102759424,0.799846197,1.462325679,0.413793138,1.167240359,1.447450175,1.613896467,0.870950532,1.083439203,0.936629963,0.781665731,0.781665731,0.781665731,1.068740041,0.925202886,1.068740041,1.085418359,1.102759424,0,0.961866037,0.854992033,0.748118029,1.122177043,1.424986722,1.72363997,1.241983398,0.903361816,1.187176331,0.8205912
1.515477479,0.936083428,1.085012949,0.787153908,1.446224058,0.407000926,1.153757927,1.432045741,1.594539331,0.861106725,1.071449425,0.925969969,0.770959762,0.770959762,0.770959762,1.054411797,0.91268578,1.054411797,1.07169043,1.085012949,0,0.948970617,0.843529438,0.738088258,1.107132387,1.405882396,1.701072548,1.223040649,0.88934668,1.172161407,0.810212696
1.494801568,0.921363906,1.067852682,0.774875129,1.430575348,0.400437484,1.14067311,1.417060354,1.575774473,0.851547098,1.059798531,0.91561973,0.760583403,0.760583403,0.760583403,1.040515512,0.900549458,1.040515512,1.058355469,1.067852682,0,0.936463961,0.83241241,0.728360858,1.092541288,1.387354016,1.67917334,1.20469458,0.875780518,1.157576294,0.800131282
1.474763165,0.907124741,1.05125559,0.762993892,1.41535942,0.394093601,1.1279672,1.402476016,1.557573237,0.842258566,1.048471484,0.905565038,0.750524411,0.750524411,0.750524411,1.027035565,0.888779988,1.027035565,1.045395996,1.05125559,0,0.924332009,0.821628452,0.718924896,1.078387343,1.369380754,1.657911872,1.186917114,0.862641724,1.143401871,0.790333743
1.455332031,0.893116447,1.034930607,0.751302287,1.400557329,0.38785767,1.115622789,1.388275675,1.539908628,0.833228934,1.037453956,0.895792513,0.740607867,0.740607867,0.740607867,1.013738234,0.877173051,1.013738234,1.032795898,1.034930607,0,0.912364411,0.810990587,0.709616764,1.064425146,1.351650979,1.637259637,1.169681763,0.849910156,1.129620514,0.780807896
1.436479843,0.879769053,1.019378595,0.740159511,1.386150958,0.381920633,1.103623657,1.37444311,1.52275566,0.824446776,1.026732449,0.886289485,0.731139741,0.731139741,0.731139741,1.00103455,0.866087145,1.00103455,1.020539648,1.019378595,0,0.900931095,0.80082764,0.700724185,1.051086277,1.334712733,1.617189549,1.152963745,0.837566895,1.11621524,0.771542002
