1L Borrowing Base,215000,0,0,25000,35000,75000,75000,80000,0,385000,0,0,0,0
1L Debt at Model Start,195000,0,0,0,0,0,0,0,0,244700,0,0,0,0
2L Debt at Model Start,90000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mezz Pref at Model Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pref Equity at Model Start,286238.691,0,0,25000,0,0,0,0,0,0,0,0,0,0
Other Equity at Model Start,0,0,0,0,0,0,177000,0,0,0,0,0,0,0
BS Cash at Model Start,7282.92368,0,0,0,31500,0,0,0,0,0,0,0,0,0
1L Interest - Cash,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
1L Commitment Fee - Cash,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
2L Interest - Cash,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
2L Debt Refi Date,45443,45443,45443,45443,45443,45443,45443,45443,45443,45443,45443,45443,45443,45443
2L Debt Refi Premium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mezz Pref Dividend - PIK,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Mezz Pref Dividend - Cash,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Mezz Pref - PIK Until,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196,44196
Mezz Pref - Maturity,46387,46387,46387,46387,46387,46387,46387,46387,46387,46387,46387,46387,46387,46387
Mezz Pref Redemption Premium,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Pref Equity Dividend - PIK,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
AMI Code,DrillCo 2,DrillCo 2,DrillCo 2,dco-1,DrillCo 1,DrillCo 2,DrillCo 2,DrillCo 1,DrillCo 2,DrillCo 2,DrillCo 2,DrillCo 2,DrillCo 2,DrillCo 2
