TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
3.216337077,2.67219336,3.121820107,2.222566613,1.987622358,1.716503039,1.871908179,2.149695955,1.916145483,1.059437623,1.721586241,0.632638985,2.699465264,2.699465264,2.699465264,2.094693188,2.397079226,2.094693188,2.008169141,3.121820107,0,1.885223869,1.675754551,1.466285232,2.199427848,2.792924251,9.079305407,2.952945801,2.952945801,2.196434998,1.518203474
3.084476725,2.568831083,2.999396142,2.138266025,1.908792452,1.640945976,1.795165454,2.062068911,1.837144359,1.015514456,1.650210961,0.606266459,2.58723421,2.58723421,2.58723421,2.027703655,2.307468932,2.027703655,1.952636523,2.999396142,0,1.824933289,1.622162924,1.419392558,2.129088837,2.703604873,8.751366005,2.845020752,2.845020752,2.135696198,1.476220052
2.963002523,2.474984824,2.888364161,2.061605487,1.835977209,1.572689279,1.724467468,1.981305991,1.764399806,0.975088356,1.584518563,0.582004736,2.484720767,2.484720767,2.484720767,1.966403827,2.225562297,1.966403827,1.900513867,2.888364161,0,1.769763445,1.573123062,1.376482679,2.064724019,2.62187177,8.446291324,2.745060059,2.745060059,2.078687042,1.436814607
2.850734253,2.38809774,2.785668967,1.990526513,1.768513188,1.509785585,1.659127335,1.906631147,1.697196875,0.937757742,1.523856383,0.559610193,2.389245972,2.389245972,2.389245972,1.909226621,2.149236297,1.909226621,1.85148418,2.785668967,0,1.718303959,1.527381297,1.336458635,2.004687953,2.545635495,8.161770251,2.652201172,2.652201172,2.025060822,1.39974749
2.746663005,2.307348791,2.690316403,1.924381179,1.705831675,1.45157196,1.598557869,1.837380939,1.634925409,0.903180179,1.467667783,0.538875259,2.300003503,2.300003503,2.300003503,1.855715635,2.077859569,1.855715635,1.805269727,2.690316403,0,1.670144072,1.484572508,1.299000945,1.948501417,2.474287514,7.895792249,2.565702881,2.565702881,1.974513763,1.364808728
2.649922892,2.232157893,2.601603682,1.862712104,1.647441156,1.397579148,1.542255123,1.772984874,1.577061925,0.871061835,1.41547546,0.519622026,2.216426119,2.216426119,2.216426119,1.805550365,2.010988242,1.805550365,1.761625195,2.601603682,0,1.624995328,1.444440292,1.263885255,1.895827883,2.407400486,7.646602796,2.484924316,2.484924316,1.926777557,1.331812862
2.559765625,2.160810072,2.517492694,1.804127449,1.592915836,1.346533705,1.489783594,1.712949784,1.523154222,0.841149437,1.366867827,0.501697096,2.136672025,2.136672025,2.136672025,1.757641021,1.947156523,1.757641021,1.720333789,2.517492694,0,1.581876919,1.406112817,1.230348714,1.845523072,2.343521361,7.412661441,2.40930835,2.40930835,1.881615082,1.300595992
2.475541178,2.096152882,2.441325746,1.750980018,1.54188415,1.300431636,1.440764966,1.656847267,1.472810133,0.813223217,1.321487765,0.484967586,2.063998408,2.063998408,2.063998408,1.713957789,1.888978099,1.713957789,1.68120293,2.441325746,0,1.54256201,1.371166231,1.199770452,1.799655678,2.285277052,7.192608604,2.338368408,2.338368408,1.838815704,1.271012524
2.396682536,2.035471165,2.369891517,1.701050814,1.494020594,1.257301016,1.394869236,1.604303153,1.425687576,0.787091711,1.279024097,0.46931781,1.995423104,1.995423104,1.995423104,1.67271908,1.834071092,1.67271908,1.644060547,2.369891517,0,1.505447172,1.338175264,1.170903356,1.756355034,2.230292107,6.985243729,2.27167749,2.27167749,1.798191223,1.242932372
2.322692871,1.977413385,2.30159011,1.653236661,1.449039213,1.216156438,1.351807251,1.554989215,1.381486741,0.762587311,1.239204365,0.454646472,1.929466337,1.929466337,1.929466337,1.633042825,1.781254581,1.633042825,1.60875293,2.30159011,0,1.469738542,1.30643426,1.143129977,1.714694966,2.177390433,6.789500385,2.208859863,2.208859863,1.759573517,1.216239328
