TRKRN Gas,TRACKER Gas,TRACKER-NORTH Gas,TRACKER-SOUTH Gas,LGOR Gas,HGOR Gas,B3 LGOR Gas,B1 LGOR Gas,B3 MGOR Gas,B1 MGOR Gas,B3 HGOR Gas,B1 HGOR Gas,NEW A1 LGOR Gas,NEW C1 LGOR Gas,NEW B1 LGOR Gas,NEW B3 LGOR Gas,NEW GENERIC Gas,GANADOR Gas,MUNSON Gas,DISCOVERY Gas,PDP Gas,NEW B3 LGOR Risk90 Gas,NEW B3 LGOR Risk80 Gas,NEW B3 LGOR Risk70 Gas,NEW B3 LGOR Risk90_8750 Gas,NEW B3 LGOR_10k Gas,ESTE Gas,TRACKER-N-ORIG Gas,TRACKER-S-ORIG Gas,MUNSON-8750 Gas,MUNSON-10k Gas
6.07730533,9.631948242,9.818135742,9.445760742,5.100510552,4.640318018,2.914250144,3.712610349,4.972844248,4.928299082,6.173584893,5.875207114,1.068047988,2.729055424,1.52578284,3.21065344,2.36821814,3.21065344,7.002497656,9.818135742,0,2.889588096,2.568522752,2.247457408,3.371186112,4.280871253,3.988851306,9.818135742,9.445760742,7.658981812,5.293984482
6.036789672,9.558433105,9.743510742,9.373355469,5.073208936,4.615512446,2.898288481,3.693066838,4.945121572,4.901584297,6.14045854,5.843253477,1.06123626,2.711259416,1.5160518,3.18971696,2.35288438,3.18971696,6.957915625,9.743510742,0,2.870745264,2.551773568,2.232801872,3.349202808,4.252955947,3.963013595,9.743510742,9.373355469,7.610220215,5.260279854
5.996889925,9.486087402,9.670067383,9.302107422,5.046284331,4.591048838,2.882552031,3.673788562,4.917797222,4.875243208,6.107790664,5.811748369,1.054424532,2.693714056,1.50632076,3.16907536,2.33769806,3.16907536,6.913980469,9.670067383,0,2.852167824,2.535260288,2.218352752,3.327529128,4.225433813,3.937557283,9.670067383,9.302107422,7.562166138,5.227064272
5.957591559,9.414881348,9.597776367,9.231986328,5.019727739,4.566919141,2.867036057,3.6547696,4.890861724,4.849266816,6.075570371,5.780679951,1.047767616,2.676168696,1.49681088,3.14843376,2.32262232,3.14843376,6.870678125,9.597776367,0,2.833590384,2.518747008,2.203903632,3.305855448,4.19791168,3.91247407,9.597776367,9.231986328,7.514804199,5.194327105
5.918880507,9.344788574,9.526611328,9.16296582,4.993531582,4.54311625,2.851735112,3.635963062,4.864306553,4.823647544,6.043789136,5.750040645,1.0411107,2.659124632,1.487301,3.12838192,2.30784146,3.12838192,6.827995313,9.526611328,0,2.815543728,2.502705536,2.189867344,3.284801016,4.171175893,3.887755217,9.526611328,9.16296582,7.468119873,5.162058312
5.880743144,9.275783203,9.456545898,9.095020508,4.967687808,4.519634009,2.836644934,3.617263328,4.838123184,4.798376865,6.012436538,5.719819556,1.034608596,2.642080568,1.47801228,3.10833008,2.29317118,3.10833008,6.785916406,9.456545898,0,2.797497072,2.486664064,2.175831056,3.263746584,4.144440107,3.863392424,9.456545898,9.095020508,7.422096069,5.13024608
5.843166274,9.207838867,9.387553711,9.028124023,4.942129634,4.496395215,2.821760549,3.598659741,4.812303091,4.773447676,5.981466162,5.690008633,1.028106492,2.625287152,1.46872356,3.08857312,2.27864834,3.08857312,6.744429688,9.387553711,0,2.779715808,2.470858496,2.162001184,3.243001776,4.118097493,3.839378264,9.387553711,9.028124023,7.376719971,5.098881551
5.80613711,9.140931641,9.319609375,8.962253906,4.916712129,4.473270093,2.807077458,3.580151829,4.786838223,4.748841504,5.950703711,5.66059793,1.021914012,2.608995032,1.45987716,3.06940592,2.26464154,3.06940592,6.703521875,9.319609375,0,2.762465328,2.455524736,2.148584144,3.222876216,4.092541227,3.815704873,9.319609375,8.962253906,7.331977051,5.067954682
5.769643258,9.075037598,9.252691406,8.897383789,4.891425347,4.450263853,2.792595898,3.561739116,4.761720527,4.724418154,5.920098979,5.631493193,1.015721532,2.59295356,1.45103076,3.0505336,2.25078218,3.0505336,6.663180469,9.252691406,0,2.74548024,2.44042688,2.13537352,3.20306028,4.067378133,3.792363949,9.252691406,8.897383789,7.287853638,5.037456024
5.733672703,9.010132813,9.186773438,8.833492188,4.866268813,4.427376494,2.778233457,3.54342113,4.7369429,4.700120317,5.889651494,5.602530547,1.009529052,2.576912088,1.44218436,3.03166128,2.23692282,3.03166128,6.623392969,9.186773438,0,2.728495152,2.425329024,2.122162896,3.183244344,4.04221504,3.769349378,9.186773438,8.833492188,7.24433606,5.007376128
5.698213796,8.946195313,9.121833984,8.770556641,4.841241108,4.404606123,2.763944902,3.525197161,4.712505342,4.67594752,5.859360781,5.573716147,1.003336572,2.561121264,1.43333796,3.01308384,2.2232109,3.01308384,6.584146875,9.121833984,0,2.711775456,2.410467072,2.109158688,3.163738032,4.01744512,3.746653295,9.121833984,8.770556641,7.201410645,4.977705541
