Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
51501,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51532,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51560,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51591,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51621,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51652,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51682,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51713,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51744,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51774,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51805,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51835,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51866,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51897,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51925,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51956,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
51986,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52017,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52047,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52078,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52109,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52139,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52170,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52200,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52231,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52262,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52290,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52321,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52351,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52382,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52412,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52443,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52474,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52504,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52535,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52565,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52596,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52627,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52656,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52687,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52717,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52748,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52778,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52809,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52840,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52870,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52901,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52931,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
