Date,SUB-ASSET,Oil Revenue - TOTAL,Gas Revenue - TOTAL,NGL Revenue - TOTAL,Company Revenue - TOTAL,Hedges,Revenue net of Hedges,Sev Taxes,Ad Val Taxes,Production Taxes - TOTAL,Operating Expenses,Midstream / Marketing Expenses,SG&A,EBITDAX,Interest Exp,TTM EBITDAX,1L Debt,2L Debt,BS Cash,Net Debt,Net Leverage ,Mezz Pref,Pref Equity - Class A,Common Equity - Class B,Borrowing Base
43677,Tracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43708,Tracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43738,Tracker,5920.584412,560.7523527,791.6632643,7273.000029,0,7273.000029,-357.327629,-263.0833147,-620.4109437,-639.342,,0,6013.247085,0,6013.247085,0,0,0,0,0,0,0,0,0
43769,Tracker,5162.930721,588.2037316,928.6259739,6679.760426,0,6679.760426,-331.1574897,-279.6649763,-610.822466,-681.263,,0,5387.67496,0,11400.92205,0,0,0,0,0,0,0,0,0
43799,Tracker,5258.170468,582.8629123,1084.765405,6925.798785,0,6925.798785,-346.6644091,-292.9490493,-639.6134584,-863.863,,0,5422.322326,0,16823.24437,0,0,0,0,0,0,0,0,0
43830,Tracker,4642.924805,640.5148113,1004.125617,6287.565233,0,6287.565233,-317.0449499,-307.4324203,-624.4773703,-2249.922,,0,3413.165862,0,20236.41023,0,0,0,0,0,0,0,0,0
43861,Tracker,8067.832707,473.5603958,820.5518978,9361.945001,0,9361.945001,-450.197311,-300.7998929,-750.9972039,-788.633,,0,7822.314797,0,28058.72503,0,0,0,0,0,0,0,0,0
43890,Tracker,7961.220268,230.8352105,722.6110113,8914.666489,0,8914.666489,-420.6771384,-275.0586226,-695.735761,-1529.683,,0,6689.247728,0,34747.97276,0,0,0,0,0,0,0,0,0
43921,Tracker,4358.462668,227.0828596,507.3177011,5092.863229,0,5092.863229,-230.2062449,-420.2584087,-650.4646536,-846.06,,0,3596.338575,0,38344.31134,0,0,0,0,0,0,0,0,0
43951,Tracker,1178.232081,197.1567629,350.6311424,1726.019986,0,1726.019986,-76.21650868,-308.2828593,-384.499368,-967.719,,0,373.8016182,0,38718.11295,0,0,0,0,0,0,0,0,0
43982,Tracker,269.8804367,36.95924666,43.89555916,350.7352426,0,350.7352426,-17.34396038,-13.87698428,-31.22094465,-658.91,,0,-339.3957021,0,38378.71725,0,0,0,0,0,0,0,0,0
44012,Tracker,4477.35325,726.5506442,1095.015084,6298.918978,0,6298.918978,-318.3106024,-401.8344651,-720.1450674,-772.548,,0,4806.225911,0,43184.94316,0,0,0,0,0,0,0,0,0
44043,Tracker,2854.473454,665.4491822,1362.331776,4882.254413,0,4882.254413,-258.4535961,-403.186853,-661.6404491,-554.989,,0,3665.624964,0,46850.56813,0,0,0,0,0,0,0,0,0
44074,Tracker,2487.424023,749.9974371,1358.714809,4596.136269,0,4596.136269,-247.6756977,-397.0941125,-644.7698103,-739.907,,0,3211.459459,0,50062.02758,0,0,0,0,0,0,0,0,0
44104,Tracker,2487.424023,749.9974371,1358.714809,4596.136269,0,4596.136269,-247.6756977,-397.0941125,-644.7698103,-739.907,,0,3211.459459,0,47260.23996,0,0,0,0,0,0,0,0,0
44135,Tracker,2487.424023,749.9974371,1358.714809,4596.136269,0,4596.136269,-247.6756977,-397.0941125,-644.7698103,-739.907,,0,3211.459459,0,45084.02446,0,0,0,0,0,0,0,0,0
44165,Tracker,0,0,0,0,0,0,0,0,0,0,,0,3732.947732,0,43394.64986,0,0,0,0,0,0,0,0,0
44196,Tracker,0,0,0,0,0,0,0,0,0,0,,0,3705.126401,0,43686.6104,0,0,0,0,0,0,0,0,0
44227,Tracker,0,0,0,0,0,0,0,0,0,0,,0,3403.494,0,39267.7896,0,0,0,0,0,0,0,0,0
44255,Tracker,0,0,0,0,0,0,0,0,0,0,,0,3250.751,0,35829.29288,0,0,0,0,0,0,0,0,0
